        e             vcon             mfp        sigma0                regrme 
  ------------------------- 
  &&&&&&&&&&&&&&&&&&&&&&&&& 
  ------------------------- 
  dipole atomic cross section
   27.86330    -0.10295   0.00000    -0.00764     0.642236E-04   0.000000E+00    -0.221396E-03  -0.215270E-03
   27.86330    -0.10295   0.00000    -0.00764     0.369581E-02   0.000000E+00    -0.112202E-02  -0.159846E-02
  quadrupole atomic cross section 
   27.86330    -0.10295   0.00000    -0.00764     0.130293E-04  -0.000000E+00     0.316916E-04  -0.356980E-04
   27.86330    -0.10295   0.00000    -0.00764     0.127083E-03   0.000000E+00     0.966003E-04   0.526459E-04
  ------------------------- 
 electric and magnetic dipole and quadrupole cross section with relativistic corrections of type: nr
  ------------------------- 
 electric dipole atomic cross section with rel. corr.s
   27.86330    -0.10295   0.00000    -0.00764     0.642309E-04   0.000000E+00    -0.221546E-03  -0.215627E-03
   27.86330    -0.10295   0.00000    -0.00764     0.369718E-02   0.000000E+00    -0.112265E-02  -0.159931E-02
 magnetic dipole atomic cross section with rel. corr.s
   27.86330    -0.10295   0.00000    -0.00764     0.550879E-10  -0.000000E+00     0.221380E-07  -0.421453E-07
  quadrupole atomic cross section with rel. corr.s
   27.86330    -0.10295   0.00000    -0.00764     0.130275E-04  -0.000000E+00     0.317404E-04  -0.357199E-04
   27.86330    -0.10295   0.00000    -0.00764     0.127079E-03   0.000000E+00     0.964009E-04   0.527937E-04
  octupole atomic cross section with rel. corr.s
   27.86330    -0.10295   0.00000    -0.00764     0.738055E-06   0.000000E+00    -0.403200E-04  -0.136425E-04
   27.86330    -0.10295   0.00000    -0.00764     0.163540E-04   0.000000E+00     0.174471E-04   0.384568E-05
